ID,Espèce,LongueurVer,LongueurDia,LongueurCro,Hauteur,Largeur,Poids
hAmkM80XrB,Dorade,30.9,33.5,38.6,15.633,5.1338,610.0
j5tRKxc3P4,Éperlan,9.3,9.8,10.8,1.7388,1.0476,6.7
w2M3CLts3v,Brochet,48.3,51.7,55.1,8.9262,6.1712,950.0
9XCIhKuBo3,Gardon,17.5,18.8,21.2,5.5756,2.9044,78.0
xb0n1Eyv8Y,Perche,19.0,21.0,22.5,5.6925,3.555,110.0
rGwCsodLeb,Éperlan,10.7,11.2,12.4,2.0832,1.2772,9.8
W6l33u8cRP,Perche,15.7,17.4,18.5,4.588,2.9415,70.0
mGXZFufzb6,Gardon,18.6,20.0,22.2,6.216,3.5742,120.0
j9LvNiLqkc,Gardon,23.6,25.2,27.9,7.0866,3.906,180.0
2jItb16tkb,Gardon,24.0,26.0,29.2,8.8768,4.4968,290.0
hYGEacSUYA,Parkki,23.0,25.0,28.0,11.088,4.144,273.0
Wv6LYPlkns,Gardon,18.2,19.8,22.2,5.6166,3.1746,87.0
JSP3kUXDRk,Brochet,40.0,42.5,45.5,7.28,4.3225,456.0
CN4PS4v16l,Dorade,29.5,32.0,37.3,13.9129,5.0728,340.0
k1eTXPS99w,Perche,20.0,22.0,23.5,5.875,3.525,135.0
2sDo0YYpeD,Perche,21.0,23.0,24.5,5.2185,3.626,150.0
3ZwQUaXeb8,Perche,39.0,42.0,44.6,12.8002,6.8684,1100.0
vOM9a3HJwG,Perche,20.5,22.5,24.0,6.7920000000000025,3.624,150.0
Q8xW852fEm,Dorade,28.7,31.0,36.2,14.3714,4.8146,500.0
PH2vmWwlfN,Parkki,16.3,17.7,19.8,7.4052,2.673,90.0
IwSwNpSBWq,Brochet,59.0,63.4,68.0,10.812000000000001,7.48,1650.0
Bz9a9fMuxG,Perche,34.0,36.5,39.0,10.880999999999998,6.864,685.0
JinC0sKvKf,Éperlan,11.3,11.8,13.1,2.2139,1.2838,10.0
kMyXTO6tYw,Perche,22.0,24.0,25.5,6.375,3.825,145.0
HVUJA6eGrf,Dorade,33.5,37.0,42.6,18.957,6.603,1000.0
mn55QRpcZM,Perche,39.8,43.0,45.2,11.9328,7.2772,1000.0
GI3L6oiWED,Gardon,22.0,23.4,26.7,6.9153,3.6312,161.0
fSAQkDIDhL,Dorade,26.5,29.0,34.0,12.444,5.134,430.0
O9dAIUszlj,Perche,40.2,43.5,46.0,12.604,8.142000000000001,1000.0
fvCgiqbXT4,Éperlan,11.7,12.4,13.5,2.43,1.269,13.4
LnapuyHJzZ,Perche,20.5,22.5,24.0,5.856,3.624,130.0
PjubN5N1kM,Parkki,24.0,26.0,29.0,11.368,4.234,300.0
06WutJdTLl,Dorade,35.0,38.5,44.0,18.084,6.2920000000000025,955.0
oh779QBpYb,Dorade,32.7,36.0,41.5,16.517,5.8515,714.0
sDj9lprXJO,Dorade,28.5,30.7,36.2,14.2266,4.9594,500.0
brmTf9FB0D,Perche,25.2,27.3,28.7,8.323,5.1373,300.0
4XrWJ1IFpN,Gardon,16.5,18.2,20.3,5.2983,2.8217,69.0
wk01QXo5Mw,Brochet,44.8,48.0,51.2,7.68,5.376,770.0
O400BJuQyV,Brochet,40.0,42.5,45.5,6.825,4.459,510.0
44HrlPmTHN,Dorade,23.2,25.4,30.0,11.52,4.02,242.0
FLXkjtl6lV,Dorade,27.6,30.0,35.0,12.67,4.69,390.0
T1AUzPRh28,Dorade,32.0,35.0,40.6,16.3618,6.09,720.0
mKsQnDDeww,Parkki,21.2,23.0,25.8,10.3458,3.6636,200.0
YDzKFdOQOw,Poisson Blanc,24.1,26.5,29.3,8.1454,4.2485,270.0
IiKjJc6Ovw,Perche,18.2,20.0,21.0,5.082,2.772,85.0
mkWkT5Q5eL,Perche,36.6,39.0,41.3,12.4313,7.3514,820.0
qrT4HfQ10P,Parkki,17.5,19.0,21.3,8.3922,2.9181,120.0
PTu0hA0jcy,Gardon,19.1,20.8,23.1,6.1677,3.3957,110.0
tkC9oVrSNC,Perche,34.6,37.0,39.3,10.5717,6.3666,690.0
fzRnn7e9RF,Éperlan,10.4,11.0,12.0,2.196,1.38,9.7
UNFZZ7RdqI,Éperlan,10.0,10.5,11.6,1.972,1.16,7.5
TRLsVGTYK9,Perche,21.5,23.5,25.0,6.275,3.725,170.0
fzcVkZO3SK,Gardon,22.1,23.5,26.8,7.3968,4.1272,200.0
trdvCLeRQf,Brochet,56.0,60.0,64.0,9.6,6.144,1550.0
GRggmULINY,Perche,37.0,40.0,42.4,12.3808,7.4624,1015.0
vdt8XZzNqM,Gardon,21.0,22.5,25.0,6.55,3.325,140.0
dPw9gH7CvB,Parkki,18.4,20.0,22.4,8.8928,3.2928,150.0
NfahXaIbi3,Perche,20.0,22.0,23.5,6.11,3.525,130.0
0oQLs0rlu1,Perche,37.0,40.0,42.5,11.73,7.225,900.0
HNS2NZ6CbJ,Parkki,14.3,15.5,17.4,6.5772,2.3142,60.0
g6oT1qRSxN,Dorade,38.0,41.0,46.5,17.6235,6.3705,950.0
9TI6h0BWbv,Perche,16.2,18.0,19.2,5.2224,3.3216,100.0
uee53LG0q2,Perche,25.9,28.0,29.4,7.8204,4.2042,250.0
uQlcFoTyxR,Dorade,35.0,38.5,44.1,18.0369,6.3063,920.0
jiFNVqtmsi,Poisson Blanc,23.6,26.0,28.7,8.3804,4.2476,270.0
uTtsagIRSt,Parkki,19.0,20.7,23.2,9.396,3.4104,170.0
CfviEXjiij,Poisson Blanc,33.7,36.4,39.6,11.7612,6.5736,800.0
P3w4OmZ0m9,Gardon,29.5,31.7,35.0,9.485,5.355,390.0
5WIGm7JUJH,Dorade,29.4,32.0,37.2,15.438,5.58,600.0
7pMURe7TfK,Éperlan,11.4,12.0,13.2,2.2044,1.1484,9.8
NfQShcSSQG,Perche,22.0,24.0,25.5,7.292999999999997,3.723,225.0
5hKEikfnEm,Brochet,40.1,43.0,45.8,7.786,5.1296,540.0
kl6M5mmjwZ,Gardon,22.0,24.0,27.2,7.5344,3.8352,169.0
zPFCAqF9ph,Perche,23.0,25.0,26.5,6.4395,3.6835,180.0
mzoUO10T7N,Dorade,31.8,35.0,40.9,16.36,6.0532,725.0
DOvFXCzkbZ,Perche,19.3,21.3,22.8,6.384,3.534,130.0
BKtflhf3qJ,Brochet,36.0,38.5,41.0,6.396,3.977,345.0
hGIKA5kWMf,Dorade,24.0,26.3,31.2,12.48,4.3056,290.0
PtiQyVhdms,Perche,30.5,32.8,34.0,10.03,6.018,514.0
largfUxFmo,Perche,13.8,15.0,16.0,3.824,2.432,40.0
FCLVeq9O9d,Éperlan,11.3,11.8,13.1,2.2139,1.1659,9.9
2wF6RvuV2l,Perche,36.5,39.0,41.4,11.1366,7.4934,900.0
GGDdPdiTVO,Perche,19.0,21.0,22.5,5.9175,3.3075,115.0
LxF0RH8hYF,Brochet,52.0,56.0,59.7,10.6863,6.9849,1250.0
3QYoa2KL4u,Dorade,27.6,30.0,35.1,14.0049,4.8438,450.0
9wr0HTK8q1,Dorade,32.8,36.0,41.6,16.8896,6.1984,850.0
Lja4H15QP3,Perche,22.6,24.6,26.2,6.7334,4.1658,188.0
MugFoOuRP5,Perche,36.5,39.0,41.4,11.1366,6.002999999999999,650.0
AnpHuZcNmf,Perche,41.1,44.0,46.6,12.4888,7.5958,1000.0
9S2v7kVYCM,Gardon,19.4,21.0,23.7,6.1146,3.2943,120.0
aMftxljLeq,Dorade,23.9,26.5,31.1,12.3778,4.6961,340.0
R4EPw60mO6,Perche,20.7,22.7,24.2,5.9532,3.63,145.0
mZEB8Y0nQO,Dorade,26.8,29.7,34.7,13.6024,4.9274,450.0
pBt72jKPRY,Perche,16.8,18.7,19.4,5.1992,3.1234,78.0
taxgsqdMqG,Poisson Blanc,25.6,28.0,30.8,8.777999999999999,4.6816,306.0
iZXavkwwv1,Perche,26.9,28.7,30.1,7.5852,4.6354,300.0
wG7JQneRd9,Brochet,32.7,35.0,38.8,5.9364,4.3844,300.0
gwq30XDcU4,Brochet,34.8,37.3,39.8,6.2884,4.0198,300.0
Y6pe0RiNHk,Éperlan,12.1,13.0,13.8,2.277,1.2558,12.2
insRSpADZF,Brochet,43.2,46.0,48.7,7.792000000000002,4.87,567.0
wPq5ICTmcH,Brochet,42.0,45.0,48.0,6.96,4.896,500.0
45SM2q26eq,Perche,15.0,16.2,17.2,4.5924,2.6316,51.5
catSTVPD4t,Perche,7.5,8.4,8.8,2.112,1.408,5.9
tgom58M3NV,Brochet,56.0,60.0,64.0,9.6,6.144,1600.0
HC9bs46yh3,Éperlan,10.1,10.6,11.6,1.7284,1.1484,7.0
h0lbz1NLYG,Dorade,28.4,31.0,36.2,14.2628,5.1042,475.0
kcli5XYNME,Dorade,29.4,32.0,37.2,14.9544,5.1708,600.0
gnLrouop86,Perche,36.9,40.0,42.3,11.9286,7.1064,850.0
pnCg44KlBu,Perche,12.5,13.7,14.7,3.528,1.9992,32.0
vNBqZf3INm,Perche,25.4,27.5,28.9,7.1672,4.335,260.0
ykHpn90IGF,Dorade,30.4,33.0,38.5,14.938,5.1975,700.0
yVNprXA4ur,Perche,40.1,43.0,45.5,12.5125,7.4165,1100.0
raxJYR24Pa,Poisson Blanc,37.3,40.0,43.5,12.354,6.525,1000.0
rJcAsRq4uf,Éperlan,11.5,12.2,13.4,2.0904,1.3936,12.2
gMb1Kzhmk9,Perche,25.4,27.5,28.9,7.0516,4.335,265.0
l4TaKt7wCT,Gardon,25.0,27.0,30.6,8.568,4.7736,272.0
MouvpSkSlg,Perche,20.0,22.0,23.5,5.5225,3.995,110.0
WV9UF66Cwb,Gardon,21.1,22.5,25.0,6.4,3.8,160.0
DaWAKlwFdC,Perche,32.0,34.5,36.5,10.2565,6.3875,556.0
GmMvgJvsUW,Dorade,0.0,33.5,38.6,15.633,5.1338,570.0
fZfIDdVfi2,Éperlan,9.3,9.8,0.0,1.7388,,5.7
bRvoqtt3Ly,Brochet,,,55.1,8.9262,6.1712,400.0
uUVaf40grN,Gardon,17.5,,21.2,,0.0,50.0
